Date,Building,Stream,Substream,Volume,Weight,Notes
5/5/15,Graham,Landfill,Cardboard,0.75,3.9,mailing boxes
5/5/15,Graham,Landfill,Compostable Food Containers,1.0,5.3,"to-go besonware, sandwhich wrappers"
5/5/15,Graham,Landfill,Glass,0.1,4.2,"bottles, jam jar"
5/5/15,Graham,Landfill,Other Landfill,0.67,5.9,"small pieces, facial wipes, makeup remover swabs"
5/5/15,Graham,Landfill,Misc. Meal Waste,0.33,10.7,
5/5/15,Graham,Landfill,Paperboard Rolls,0.1,0.6,
5/5/15,Graham,Landfill,E-/Universal Waste,0.01,0.01,bateries
5/5/15,Graham,Landfill,Styrofoam,0.01,0.01,cup-a-noodle
10/4/17,Benson Center,Landfill,Other Landfill,0.5,6.3,"soiled bags, gloves"
10/4/17,Benson Center,Landfill,Other Landfill,0.01,0.01,"Only coffee cups, 4 cups"
10/4/17,Benson Center,Landfill,Misc. Meal Waste,0.1,2.9,bagel chips
10/4/17,Benson Center,Landfill,Paper,0.1,0.1,receipts
10/4/17,Benson Center,Landfill,Paperboard Rolls,0.1,1.6,toilet paper rolls
10/4/17,Benson Center,Landfill,Plastic Film,0.5,1.8,Liners
10/4/17,Benson Center,Landfill,Terracycle,0.1,1.0,energy bar wraapers
10/4/17,Benson Center,Landfill,Reusables,0.33,6.6,towels
10/4/17,Benson Center,Landfill,Metal,0.01,0.01,tin foil
10/4/17,Benson Center,Landfill,Compostable Food Containers,0.25,3.5,"coffee sleeves, to go containers"
10/4/17,Benson Center,Landfill,Plastic 1-7,0.25,1.5,
10/4/17,Benson Center,Recycling,Plastic 1-7,1.0,6.9,"water bottles, core power, gatorade bottles"
10/4/17,Benson Center,Recycling,glass,0.25,6.1,broken glass
10/4/17,Benson Center,Recycling,Plastic 1-7,1.0,8.6,"water bottles, gatorade, protein drinks"
10/4/17,Benson Center,Recycling,cardboard,1.5,22.5,flattened boxes
10/4/17,Benson Center,Recycling,Plastic 1-7,1.0,6.9,"water bottles, gatorade, protein drinks"
10/4/17,Benson Center,Recycling,cardboard,2.0,29.1,boxes
10/4/17,Benson Center,Recycling,Plastic 1-7,1.0,8.7,"water bottles, gatorade, protein drinks"
